Player Name,player_link,Position,Age,nation,matches,goals,assists,Points,Market Value,Market_Value_EUR
Robin Kalem,https://www.transfermarkt.com/robin-kalem/profil/spieler/500771,Right Winger,21,Germany,35,7,6,13,€350k,350000
Moustapha Camara,https://www.transfermarkt.com/moustapha-camara/profil/spieler/929396,Right Winger,21,Senegal,35,6,7,13,€800k,800000
Mame Mor Faye,https://www.transfermarkt.com/mame-mor-faye/profil/spieler/1111241,Right Winger,18,Senegal,23,6,7,13,€550k,550000
Jaume Jardí,https://www.transfermarkt.com/jaume-jardi/profil/spieler/568196,Right Winger,22,Spain,37,5,8,13,€300k,300000
Johan Bakayoko,https://www.transfermarkt.com/johan-bakayoko/profil/spieler/565424,Right Winger,21,"Belgium, Cote d'Ivoire",35,10,2,12,€30.00m,30000000
Adam Kronus,https://www.transfermarkt.com/adam-kronus/profil/spieler/623768,Right Winger,21,Czech Republic,32,9,3,12,€200k,200000
Layee Kromah,https://www.transfermarkt.com/layee-kromah/profil/spieler/865293,Right Winger,21,"Netherlands, Liberia",31,9,3,12,€200k,200000
Anis Hadj Moussa,https://www.transfermarkt.com/anis-hadj-moussa/profil/spieler/917911,Right Winger,22,"Algeria, France",32,8,4,12,€14.00m,14000000
Daniel Pandula,https://www.transfermarkt.com/daniel-pandula/profil/spieler/817502,Right Winger,20,Czech Republic,36,8,4,12,€150k,150000
Yankuba Minteh,https://www.transfermarkt.com/yankuba-minteh/profil/spieler/1012534,Right Winger,19,The Gambia,37,7,5,12,€30.00m,30000000
Gabriel Silva,https://www.transfermarkt.com/gabriel-silva/profil/spieler/627224,Right Winger,22,Brazil,37,7,5,12,€5.00m,5000000
Kang-in Lee,https://www.transfermarkt.com/kang-in-lee/profil/spieler/557149,Right Winger,23,"Korea, South",34,6,6,12,€25.00m,25000000
Jonny Arriba,https://www.transfermarkt.com/jonny-arriba/profil/spieler/585536,Right Winger,22,Spain,37,5,7,12,€300k,300000
Aymane Bais,https://www.transfermarkt.com/aymane-bais/profil/spieler/1055887,Right Winger,18,Netherlands,33,5,7,12,,
Dylan Mbayo,https://www.transfermarkt.com/dylan-mbayo/profil/spieler/502289,Right Winger,22,"Belgium, DR Congo",35,4,8,12,€2.00m,2000000
Pau Martínez,https://www.transfermarkt.com/pau-martinez/profil/spieler/366931,Right Winger,23,Spain,36,4,8,12,€250k,250000
Martin Vlachovsky,https://www.transfermarkt.com/martin-vlachovsky/profil/spieler/649566,Right Winger,23,Czech Republic,34,4,8,12,,
Savinho,https://www.transfermarkt.com/savinho/profil/spieler/743591,Right Winger,20,Brazil,36,1,11,12,€50.00m,50000000
Cyriaque Irié,https://www.transfermarkt.com/cyriaque-irie/profil/spieler/1145064,Right Winger,19,"Burkina Faso, Cote d'Ivoire",38,8,3,11,€8.00m,8000000
Fer López,https://www.transfermarkt.com/fer-lopez/profil/spieler/1064471,Right Winger,20,Spain,37,8,3,11,€5.00m,5000000
Toni Fernández,https://www.transfermarkt.com/toni-fernandez/profil/spieler/1066206,Right Winger,15,Spain,24,8,3,11,€3.00m,3000000
Noni Madueke,https://www.transfermarkt.com/noni-madueke/profil/spieler/503987,Right Winger,22,"England, Nigeria",34,7,4,11,€40.00m,40000000
Sontje Hansen,https://www.transfermarkt.com/sontje-hansen/profil/spieler/485582,Right Winger,22,"Netherlands, Curacao",33,7,4,11,€4.00m,4000000
Million Manhoef,https://www.transfermarkt.com/million-manhoef/profil/spieler/564449,Right Winger,22,"Netherlands, Suriname",38,7,4,11,€3.80m,3800000
Giorgi Tsitaishvili,https://www.transfermarkt.com/giorgi-tsitaishvili/profil/spieler/419067,Right Winger,23,"Georgia, Ukraine",39,7,4,11,€2.00m,2000000
David Mella,https://www.transfermarkt.com/david-mella/profil/spieler/741256,Right Winger,19,Spain,35,6,5,11,€4.00m,4000000
Juan Alvina,https://www.transfermarkt.com/juan-alvina/profil/spieler/1083965,Right Winger,21,Brazil,26,6,5,11,€1.50m,1500000
Mika Clausen,https://www.transfermarkt.com/mika-clausen/profil/spieler/906540,Right Winger,22,Germany,30,6,5,11,€300k,300000
Atalay Yıldırım,https://www.transfermarkt.com/atalay-yildirim/profil/spieler/618897,Right Winger,22,Türkiye,35,6,5,11,€150k,150000
Sonny Perkins,https://www.transfermarkt.com/sonny-perkins/profil/spieler/670877,Right Winger,20,"England, Ireland",37,5,6,11,€900k,900000
Gustavo Mantuan,https://www.transfermarkt.com/gustavo-mantuan/profil/spieler/814269,Right Winger,23,"Brazil, Italy",38,4,7,11,€3.50m,3500000
Quincy Butler,https://www.transfermarkt.com/quincy-butler/profil/spieler/533350,Right Winger,22,United States,34,4,7,11,€600k,600000
Amar Memic,https://www.transfermarkt.com/amar-memic/profil/spieler/638990,Right Winger,23,Bosnia-Herzegovina,32,8,2,10,€1.80m,1800000
Oleg Smirnov,https://www.transfermarkt.com/oleg-smirnov/profil/spieler/825458,Right Winger,22,Russia,35,8,2,10,€225k,225000
Jacob Trenskow,https://www.transfermarkt.com/jacob-trenskow/profil/spieler/542684,Right Winger,23,Denmark,26,7,3,10,€4.00m,4000000
Davide Bragantini,https://www.transfermarkt.com/davide-bragantini/profil/spieler/704335,Right Winger,20,Italy,37,7,3,10,€1.80m,1800000
Ruslan Bart,https://www.transfermarkt.com/ruslan-bart/profil/spieler/918824,Right Winger,18,Russia,28,7,3,10,€350k,350000
Abu Kamara,https://www.transfermarkt.com/abu-kamara/profil/spieler/696764,Right Winger,20,"England, Sierra Leone",40,6,4,10,€4.00m,4000000
Ronaldo,https://www.transfermarkt.com/ronaldo/profil/spieler/866670,Right Winger,23,Brazil,36,6,4,10,€4.00m,4000000
Marin Soticek,https://www.transfermarkt.com/marin-soticek/profil/spieler/945345,Right Winger,19,Croatia,32,6,4,10,€2.50m,2500000
Prosper Obah,https://www.transfermarkt.com/prosper-obah/profil/spieler/1041630,Right Winger,20,Nigeria,32,6,4,10,€1.10m,1100000
Tommaso Marras,https://www.transfermarkt.com/tommaso-marras/profil/spieler/941067,Right Winger,20,Italy,33,6,4,10,€225k,225000
Matías Soulé,https://www.transfermarkt.com/matias-soule/profil/spieler/668951,Right Winger,21,"Argentina, Italy",28,5,5,10,€30.00m,30000000
Jahnoah Markelo,https://www.transfermarkt.com/jahnoah-markelo/profil/spieler/677382,Right Winger,21,"Netherlands, Suriname",34,5,5,10,€2.00m,2000000
Oumar Sidibé,https://www.transfermarkt.com/oumar-sidibe/profil/spieler/948789,Right Winger,23,"France, Cote d'Ivoire",34,5,5,10,€300k,300000
Altin Shala,https://www.transfermarkt.com/altin-shala/profil/spieler/687241,Right Winger,21,"Kosovo, Switzerland",34,5,5,10,€200k,200000
Bahattin Karahan,https://www.transfermarkt.com/bahattin-karahan/profil/spieler/653065,Right Winger,22,"Türkiye, Germany",28,5,5,10,€125k,125000
Giuliano Simeone,https://www.transfermarkt.com/giuliano-simeone/profil/spieler/742201,Right Winger,21,"Argentina, Italy",38,4,6,10,€35.00m,35000000
Ansgar Knauff,https://www.transfermarkt.com/ansgar-knauff/profil/spieler/429874,Right Winger,22,"Germany, Ghana",33,4,6,10,€15.00m,15000000
Josué Casimir,https://www.transfermarkt.com/josue-casimir/profil/spieler/763182,Right Winger,22,"Guadeloupe, France",27,4,6,10,€4.00m,4000000
Théo Berdayes,https://www.transfermarkt.com/theo-berdayes/profil/spieler/608160,Right Winger,22,Switzerland,39,4,6,10,€3.00m,3000000
Tyler Goodrham,https://www.transfermarkt.com/tyler-goodrham/profil/spieler/700441,Right Winger,20,"Ireland, England",44,4,6,10,€3.00m,3000000
Anthony Musaba,https://www.transfermarkt.com/anthony-musaba/profil/spieler/511401,Right Winger,23,"Netherlands, DR Congo",32,4,6,10,€1.50m,1500000
Brenner,https://www.transfermarkt.com/brenner/profil/spieler/973703,Right Winger,22,Brazil,36,4,6,10,€1.30m,1300000
Demba Diallo,https://www.transfermarkt.com/demba-diallo/profil/spieler/853000,Right Winger,23,Mali,34,4,6,10,€700k,700000
Geovany Quenda,https://www.transfermarkt.com/geovany-quenda/profil/spieler/1138758,Right Winger,17,"Portugal, Guinea-Bissau",44,3,7,10,€45.00m,45000000
Ben Doak,https://www.transfermarkt.com/ben-doak/profil/spieler/719673,Right Winger,18,Scotland,24,3,7,10,€14.00m,14000000
Daan Rots,https://www.transfermarkt.com/daan-rots/profil/spieler/591363,Right Winger,22,Netherlands,34,3,7,10,€4.00m,4000000
Ronald,https://www.transfermarkt.com/ronald/profil/spieler/862554,Right Winger,23,Brazil,49,3,7,10,€2.00m,2000000
Luismi Cruz,https://www.transfermarkt.com/luismi-cruz/profil/spieler/610461,Right Winger,23,Spain,38,2,8,10,€1.00m,1000000
Ethan Nwaneri,https://www.transfermarkt.com/ethan-nwaneri/profil/spieler/890719,Right Winger,17,"England, Nigeria",30,7,2,9,€55.00m,55000000
Jesurun Rak-Sakyi,https://www.transfermarkt.com/jesurun-rak-sakyi/profil/spieler/586834,Right Winger,21,"England, Ghana",35,7,2,9,€6.00m,6000000
Jovan Zivkovic,https://www.transfermarkt.com/jovan-zivkovic/profil/spieler/888286,Right Winger,18,"Austria, Serbia",26,7,2,9,€400k,400000
Ben-Travis Wörndl,https://www.transfermarkt.com/ben-travis-worndl/profil/spieler/600980,Right Winger,21,Austria,20,7,2,9,,
Geny Catamo,https://www.transfermarkt.com/geny-catamo/profil/spieler/701979,Right Winger,23,Mozambique,40,6,3,9,€15.00m,15000000
Camiel Neghli,https://www.transfermarkt.com/camiel-neghli/profil/spieler/587588,Right Winger,22,"Algeria, Netherlands",28,6,3,9,€2.00m,2000000
Angelo Gattermayer,https://www.transfermarkt.com/angelo-gattermayer/profil/spieler/523870,Right Winger,22,Austria,33,6,3,9,€800k,800000
Omar Sijaric,https://www.transfermarkt.com/omar-sijaric/profil/spieler/522263,Right Winger,22,"Montenegro, Germany",36,6,3,9,€300k,300000
Radim Hamalcik,https://www.transfermarkt.com/radim-hamalcik/profil/spieler/826095,Right Winger,19,Czech Republic,26,6,3,9,,
Mohammed Kudus,https://www.transfermarkt.com/mohammed-kudus/profil/spieler/543499,Right Winger,23,Ghana,35,5,4,9,€45.00m,45000000
Chemsdine Talbi,https://www.transfermarkt.com/chemsdine-talbi/profil/spieler/743384,Right Winger,19,"Morocco, Belgium",27,5,4,9,€8.00m,8000000
Pablo García,https://www.transfermarkt.com/pablo-garcia/profil/spieler/961087,Right Winger,18,Spain,28,5,4,9,€5.00m,5000000
Telmo Arcanjo,https://www.transfermarkt.com/telmo-arcanjo/profil/spieler/791528,Right Winger,23,"Cape Verde, Portugal",30,5,4,9,€3.00m,3000000
Xavier Amaechi,https://www.transfermarkt.com/xavier-amaechi/profil/spieler/433185,Right Winger,23,"England, Nigeria",25,5,4,9,€700k,700000
Aingeru Olabarrieta,https://www.transfermarkt.com/aingeru-olabarrieta/profil/spieler/1056971,Right Winger,18,Spain,29,5,4,9,€500k,500000
Marcus Younis,https://www.transfermarkt.com/marcus-younis/profil/spieler/1099720,Right Winger,18,Australia,26,5,4,9,€300k,300000
Seydou Fini,https://www.transfermarkt.com/seydou-fini/profil/spieler/866250,Right Winger,18,"Italy, Cote d'Ivoire",39,4,5,9,€1.30m,1300000
Femi Azeez,https://www.transfermarkt.com/femi-azeez/profil/spieler/703408,Right Winger,23,"England, Spain",39,4,5,9,€1.20m,1200000
Vladyslav Veleten,https://www.transfermarkt.com/vladyslav-veleten/profil/spieler/729781,Right Winger,21,Ukraine,27,4,5,9,€600k,600000
Niccoló Spinelli,https://www.transfermarkt.com/niccolo-spinelli/profil/spieler/805768,Right Winger,20,"Switzerland, Italy",30,4,5,9,€150k,150000
Vadim Rakov,https://www.transfermarkt.com/vadim-rakov/profil/spieler/745284,Right Winger,19,Russia,29,3,6,9,€1.20m,1200000
Roberto Massimo,https://www.transfermarkt.com/roberto-massimo/profil/spieler/431561,Right Winger,23,"Germany, Italy",30,3,6,9,€800k,800000
Paul Lipczinski,https://www.transfermarkt.com/paul-lipczinski/profil/spieler/674052,Right Winger,22,Austria,27,3,6,9,€200k,200000
Luan Campos,https://www.transfermarkt.com/luan-campos/profil/spieler/819249,Right Winger,22,Brazil,29,7,1,8,€500k,500000
Berk Karadağ,https://www.transfermarkt.com/berk-karadag/profil/spieler/695460,Right Winger,23,Türkiye,33,7,1,8,€100k,100000
Romain Esse,https://www.transfermarkt.com/romain-esse/profil/spieler/967319,Right Winger,19,"England, Cote d'Ivoire",35,6,2,8,€12.00m,12000000
Nikolaus Wurmbrand,https://www.transfermarkt.com/nikolaus-wurmbrand/profil/spieler/803052,Right Winger,18,Austria,23,6,2,8,€2.00m,2000000
Alex Fernandes,https://www.transfermarkt.com/alex-fernandes/profil/spieler/983977,Right Winger,22,Brazil,18,6,2,8,€700k,700000
Jakub Kubovsky,https://www.transfermarkt.com/jakub-kubovsky/profil/spieler/809668,Right Winger,22,Czech Republic,31,6,2,8,€50k,50000
Álex Guti,https://www.transfermarkt.com/alex-guti/profil/spieler/891107,Right Winger,23,Spain,36,6,2,8,,
Jilani Helder,https://www.transfermarkt.com/jilani-helder/profil/spieler/1007831,Right Winger,22,Netherlands,35,6,2,8,,
David Larrubia,https://www.transfermarkt.com/david-larrubia/profil/spieler/635939,Right Winger,22,Spain,37,5,3,8,€1.00m,1000000
Pablo Sáenz,https://www.transfermarkt.com/pablo-saenz/profil/spieler/821820,Right Winger,23,Spain,39,5,3,8,€700k,700000
Marc Gutbub,https://www.transfermarkt.com/marc-gutbub/profil/spieler/660514,Right Winger,21,Switzerland,34,5,3,8,€500k,500000
Malick Mbaye,https://www.transfermarkt.com/malick-mbaye/profil/spieler/707063,Right Winger,20,Senegal,13,5,3,8,€500k,500000
Hugo González,https://www.transfermarkt.com/hugo-gonzalez/profil/spieler/707279,Right Winger,21,Spain,33,5,3,8,€300k,300000
Francisco Conceição,https://www.transfermarkt.com/francisco-conceicao/profil/spieler/487474,Right Winger,21,Portugal,28,4,4,8,€28.00m,28000000
Patrick Wimmer,https://www.transfermarkt.com/patrick-wimmer/profil/spieler/533295,Right Winger,23,Austria,33,4,4,8,€15.00m,15000000
Mohamed-Ali Cho,https://www.transfermarkt.com/mohamed-ali-cho/profil/spieler/670847,Right Winger,20,"France, England",29,4,4,8,€15.00m,15000000
Ilya Kvasnytsya,https://www.transfermarkt.com/ilya-kvasnytsya/profil/spieler/936825,Right Winger,21,Ukraine,25,4,4,8,€2.50m,2500000
Anthony Valencia,https://www.transfermarkt.com/anthony-valencia/profil/spieler/974374,Right Winger,20,Ecuador,29,4,4,8,€1.20m,1200000
Elies Mahmoud,https://www.transfermarkt.com/elies-mahmoud/profil/spieler/804664,Right Winger,23,"France, Algeria",18,4,4,8,€450k,450000
Georgios Kyriopoulos,https://www.transfermarkt.com/georgios-kyriopoulos/profil/spieler/898021,Right Winger,19,Greece,21,4,4,8,€350k,350000
Moses Emmanuel,https://www.transfermarkt.com/moses-emmanuel/profil/spieler/1071296,Right Winger,20,Nigeria,26,4,4,8,€325k,325000
Jiri Hrubes,https://www.transfermarkt.com/jiri-hrubes/profil/spieler/658872,Right Winger,23,Czech Republic,27,4,4,8,€200k,200000
Destiny Egharevba,https://www.transfermarkt.com/destiny-egharevba/profil/spieler/704176,Right Winger,21,"Italy, Nigeria",31,4,4,8,€200k,200000
Roger Fernandes,https://www.transfermarkt.com/roger-fernandes/profil/spieler/906329,Right Winger,18,"Portugal, Guinea-Bissau",34,3,5,8,€22.00m,22000000
Ernest Poku,https://www.transfermarkt.com/ernest-poku/profil/spieler/718303,Right Winger,20,"Netherlands, Ghana",30,3,5,8,€4.00m,4000000
Lisandru Tramoni,https://www.transfermarkt.com/lisandru-tramoni/profil/spieler/607227,Right Winger,21,"France, Italy",29,3,5,8,€700k,700000
Hussayn Touati,https://www.transfermarkt.com/hussayn-touati/profil/spieler/618487,Right Winger,22,"France, Morocco",25,3,5,8,€350k,350000
Lucas Calodat,https://www.transfermarkt.com/lucas-calodat/profil/spieler/857653,Right Winger,22,"France, Guadeloupe",29,3,5,8,€300k,300000
Jayen Gerold,https://www.transfermarkt.com/jayen-gerold/profil/spieler/727211,Right Winger,20,"Suriname, Netherlands",29,3,5,8,€250k,250000
Willy Vogt,https://www.transfermarkt.com/willy-vogt/profil/spieler/500782,Right Winger,22,"Switzerland, Brazil",21,2,6,8,€200k,200000
Gabriel Goulart,https://www.transfermarkt.com/gabriel-goulart/profil/spieler/1174687,Right Winger,22,Brazil,13,1,7,8,€100k,100000
Amadou Diallo,https://www.transfermarkt.com/amadou-diallo/profil/spieler/990751,Right Winger,19,"Belgium, Guinea",17,7,0,7,€200k,200000
Alama Bayo,https://www.transfermarkt.com/alama-bayo/profil/spieler/1123952,Right Winger,18,"Belgium, Guinea",13,7,0,7,€200k,200000
Ahmet Ülük,https://www.transfermarkt.com/ahmet-uluk/profil/spieler/913225,Right Winger,22,Türkiye,27,7,0,7,€125k,125000
Onur Efe,https://www.transfermarkt.com/onur-efe/profil/spieler/824104,Right Winger,22,Türkiye,30,7,0,7,€100k,100000
Marcel Tanzmayr,https://www.transfermarkt.com/marcel-tanzmayr/profil/spieler/524541,Right Winger,22,Austria,28,7,0,7,,
Mamadou Diallo,https://www.transfermarkt.com/mamadou-diallo/profil/spieler/1143326,Right Winger,21,Belgium,29,7,0,7,,
Korede Osundina,https://www.transfermarkt.com/korede-osundina/profil/spieler/975138,Right Winger,20,"United States, Nigeria",30,6,1,7,€450k,450000
Oucasse Mendy,https://www.transfermarkt.com/oucasse-mendy/profil/spieler/859536,Right Winger,23,"France, Senegal",32,6,1,7,€400k,400000
Takefusa Kubo,https://www.transfermarkt.com/takefusa-kubo/profil/spieler/405398,Right Winger,23,Japan,41,5,2,7,€30.00m,30000000
Adu Ares,https://www.transfermarkt.com/adu-ares/profil/spieler/895480,Right Winger,22,"Spain, Guinea-Bissau",33,5,2,7,€1.60m,1600000
Jorg Schreuders,https://www.transfermarkt.com/jorg-schreuders/profil/spieler/671735,Right Winger,19,Netherlands,34,5,2,7,€1.20m,1200000
Garrik Levin,https://www.transfermarkt.com/garrik-levin/profil/spieler/555173,Right Winger,21,"Russia, Armenia",33,5,2,7,€200k,200000
Vojtech Werani,https://www.transfermarkt.com/vojtech-werani/profil/spieler/740582,Right Winger,19,Czech Republic,29,5,2,7,,
João Simões,https://www.transfermarkt.com/joao-simoes/profil/spieler/785074,Right Winger,22,Portugal,17,5,2,7,,
Tyler Dibling,https://www.transfermarkt.com/tyler-dibling/profil/spieler/866655,Right Winger,18,England,38,4,3,7,€25.00m,25000000
Gustav Isaksen,https://www.transfermarkt.com/gustav-isaksen/profil/spieler/462823,Right Winger,23,Denmark,39,4,3,7,€20.00m,20000000
Griffin Yow,https://www.transfermarkt.com/griffin-yow/profil/spieler/627205,Right Winger,21,United States,26,4,3,7,€4.00m,4000000
Haissem Hassan,https://www.transfermarkt.com/haissem-hassan/profil/spieler/620164,Right Winger,22,"France, Egypt",40,4,3,7,€2.50m,2500000
Lukas Petkov,https://www.transfermarkt.com/lukas-petkov/profil/spieler/401639,Right Winger,23,"Bulgaria, Germany",31,4,3,7,€1.20m,1200000
Elayis Tavsan,https://www.transfermarkt.com/elayis-tavsan/profil/spieler/462086,Right Winger,23,"Netherlands, Türkiye",31,4,3,7,€1.20m,1200000
Moses David Cobnan,https://www.transfermarkt.com/moses-david-cobnan/profil/spieler/911232,Right Winger,21,Nigeria,34,4,3,7,€900k,900000
Jan Faberski,https://www.transfermarkt.com/jan-faberski/profil/spieler/949480,Right Winger,18,Poland,34,4,3,7,€700k,700000
Irakliy Manelov,https://www.transfermarkt.com/irakliy-manelov/profil/spieler/667980,Right Winger,21,Russia,35,4,3,7,€600k,600000
Mert Durmush,https://www.transfermarkt.com/mert-durmush/profil/spieler/1053566,Right Winger,18,Bulgaria,29,4,3,7,€200k,200000
Eduard Bagrintsev,https://www.transfermarkt.com/eduard-bagrintsev/profil/spieler/555154,Right Winger,21,"Armenia, Russia",32,4,3,7,,
Justin Njinmah,https://www.transfermarkt.com/justin-njinmah/profil/spieler/596153,Right Winger,23,"Germany, Nigeria",30,3,4,7,€7.00m,7000000
